HBA;HBD;HBA:HBD;T(K);Tc(K);Pc(bar);?;Density (kg/m3);LSSVR;ARD%;AARD%
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";293.15;701.16;37.822;0.5152;1060.3;1067.163301;0.65;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";298.15;701.16;37.822;0.5152;1057.0;1063.015634;0.57;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";303.15;701.16;37.822;0.5152;1053.7;1058.713544;0.48;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";308.15;701.16;37.822;0.5152;1050.5;1054.316668;0.36;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";313.15;701.16;37.822;0.5152;1047.2;1049.934113;0.26;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";318.15;701.16;37.822;0.5152;1043.9;1045.714768;0.17;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";323.15;701.16;37.822;0.5152;1040.6;1041.831604;0.12;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";328.15;701.16;37.822;0.5152;1037.4;1038.462482;0.10;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";333.15;701.16;37.822;0.5152;1034.1;1035.770627;0.16;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";338.15;701.16;37.822;0.5152;1030.9;1033.887863;0.29;
Benzyl tripropyl ammonium Chloride;Phenol;"1;3";343.15;701.16;37.822;0.5152;1027.6;1032.903111;0.52;
Betaine;Lactic acid;"1;2";298.15;668.50;44.088;0.7863;1201.4;1201.659239;0.02;
Betaine;Lactic acid;"1;2";303.15;668.50;44.088;0.7863;1197.9;1198.304512;0.03;
Betaine;Lactic acid;"1;2";308.15;668.50;44.088;0.7863;1194.4;1194.620785;0.02;
Betaine;Lactic acid;"1;2";313.15;668.50;44.088;0.7863;1190.9;1190.779441;0.01;
Betaine;Lactic acid;"1;2";318.15;668.50;44.088;0.7863;1187.4;1186.931248;0.04;
Betaine;Lactic acid;"1;2";323.15;668.50;44.088;0.7863;1183.9;1183.193876;0.06;
Betaine;Lactic acid;"1;2";328.15;668.50;44.088;0.7863;1180.4;1179.644557;0.06;
Betaine;Lactic acid;"1;2";333.15;668.50;44.088;0.7863;1176.9;1176.31869;0.05;
Betaine;Lactic acid;"1;2";338.15;668.50;44.088;0.7863;1173.4;1173.214271;0.02;
Betaine;Lactic acid;"1;2";343.15;668.50;44.088;0.7863;1169.9;1170.301171;0.03;
Betaine;Lactic acid;"1;5";293.15;683.07;47.230;0.8755;1208.9;1208.077565;0.07;
Betaine;Lactic acid;"1;5";298.15;683.07;47.230;0.8755;1205.1;1205.132737;0.00;
Betaine;Lactic acid;"1;5";303.15;683.07;47.230;0.8755;1201.2;1201.624486;0.04;
Betaine;Lactic acid;"1;5";308.15;683.07;47.230;0.8755;1197.2;1197.721032;0.04;
Betaine;Lactic acid;"1;5";313.15;683.07;47.230;0.8755;1193.3;1193.589361;0.02;
Betaine;Lactic acid;"1;5";318.15;683.07;47.230;0.8755;1189.4;1189.381788;0.00;
Betaine;Lactic acid;"1;5";323.15;683.07;47.230;0.8755;1185.4;1185.225664;0.01;
Betaine;Lactic acid;"1;5";328.15;683.07;47.230;0.8755;1181.5;1181.217294;0.02;
Betaine;Lactic acid;"1;5";333.15;683.07;47.230;0.8755;1177.5;1177.420433;0.01;
Betaine;Lactic acid;"1;5";338.15;683.07;47.230;0.8755;1173.5;1173.869034;0.03;
Betaine;Lactic acid;"1;5";343.15;683.07;47.230;0.8755;1169.6;1170.573283;0.08;
Betaine;Levulinic acid;"1;2";293.15;701.24;38.938;0.6195;1161.9;1160.978345;0.08;
Betaine;Levulinic acid;"1;2";298.15;701.24;38.938;0.6195;1158.3;1158.246545;0.00;
Betaine;Levulinic acid;"1;2";303.15;701.24;38.938;0.6195;1154.7;1154.999448;0.03;
Betaine;Levulinic acid;"1;2";308.15;701.24;38.938;0.6195;1151.2;1151.376804;0.02;
Betaine;Levulinic acid;"1;2";313.15;701.24;38.938;0.6195;1147.6;1147.538727;0.01;
Betaine;Levulinic acid;"1;2";318.15;701.24;38.938;0.6195;1144.1;1143.645916;0.04;
Betaine;Levulinic acid;"1;2";323.15;701.24;38.938;0.6195;1140.6;1139.839835;0.07;
Betaine;Levulinic acid;"1;2";328.15;701.24;38.938;0.6195;1137.1;1136.226186;0.08;
Betaine;Levulinic acid;"1;2";333.15;701.24;38.938;0.6195;1133.6;1132.864526;0.06;
Betaine;Levulinic acid;"1;2";338.15;701.24;38.938;0.6195;1130.1;1129.765932;0.03;
Betaine;Levulinic acid;"1;2";343.15;701.24;38.938;0.6195;1126.6;1126.899174;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";293.15;906.55;22.857;1.5331;1242.0;1242.258489;0.02;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";298.15;906.55;22.857;1.5331;1239.0;1239.951908;0.08;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";303.15;906.55;22.857;1.5331;1236.0;1237.055668;0.09;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";308.15;906.55;22.857;1.5331;1233.0;1233.784729;0.06;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";313.15;906.55;22.857;1.5331;1230.0;1230.337427;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";318.15;906.55;22.857;1.5331;1227.0;1226.876684;0.01;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";323.15;906.55;22.857;1.5331;1224.0;1223.516863;0.04;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";328.15;906.55;22.857;1.5331;1220.0;1220.317796;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";333.15;906.55;22.857;1.5331;1217.0;1217.286349;0.02;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";338.15;906.55;22.857;1.5331;1214.0;1214.38485;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";343.15;906.55;22.857;1.5331;1210.0;1211.544666;0.13;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";348.15;906.55;22.857;1.5331;1207.0;1208.68262;0.14;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Fructose;"1;1";353.15;906.55;22.857;1.5331;1203.0;1205.717687;0.23;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";293.15;901.37;23.127;1.5158;1255.0;1253.28925;0.14;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";298.15;901.37;23.127;1.5158;1252.0;1251.812955;0.01;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";303.15;901.37;23.127;1.5158;1250.0;1249.678291;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";308.15;901.37;23.127;1.5158;1247.0;1247.077568;0.01;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";313.15;901.37;23.127;1.5158;1244.0;1244.186777;0.02;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";318.15;901.37;23.127;1.5158;1241.0;1241.147867;0.01;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";323.15;901.37;23.127;1.5158;1238.0;1238.056823;0.00;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";328.15;901.37;23.127;1.5158;1235.0;1234.958982;0.00;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";333.15;901.37;23.127;1.5158;1232.0;1231.851839;0.01;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";338.15;901.37;23.127;1.5158;1229.0;1228.694511;0.02;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";343.15;901.37;23.127;1.5158;1226.0;1225.422017;0.05;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";348.15;901.37;23.127;1.5158;1223.0;1221.961939;0.08;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Glucose;"1;1";353.15;901.37;23.127;1.5158;1220.0;1218.250835;0.14;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";293.15;908.27;21.009;1.5684;1262.0;1260.087092;0.15;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";298.15;908.27;21.009;1.5684;1260.0;1259.101962;0.07;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";303.15;908.27;21.009;1.5684;1257.0;1257.364804;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";308.15;908.27;21.009;1.5684;1255.0;1255.059518;0.00;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";313.15;908.27;21.009;1.5684;1252.0;1252.360575;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";318.15;908.27;21.009;1.5684;1249.0;1249.415026;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";323.15;908.27;21.009;1.5684;1246.0;1246.329549;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";328.15;908.27;21.009;1.5684;1243.0;1243.164083;0.01;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";333.15;908.27;21.009;1.5684;1240.0;1239.932574;0.01;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";338.15;908.27;21.009;1.5684;1237.0;1236.610289;0.03;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";343.15;908.27;21.009;1.5684;1234.0;1233.146163;0.07;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";348.15;908.27;21.009;1.5684;1231.0;1229.478039;0.12;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Mannose;"1;1";353.15;908.27;21.009;1.5684;1228.0;1225.548308;0.20;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";293.15;851.41;23.211;1.3978;1246.0;1248.07789;0.17;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";298.15;851.41;23.211;1.3978;1243.0;1245.373158;0.19;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";303.15;851.41;23.211;1.3978;1240.0;1242.161134;0.17;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";308.15;851.41;23.211;1.3978;1237.0;1238.702246;0.14;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";313.15;851.41;23.211;1.3978;1234.0;1235.223922;0.10;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";318.15;851.41;23.211;1.3978;1231.0;1231.897371;0.07;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";323.15;851.41;23.211;1.3978;1228.0;1228.822737;0.07;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";328.15;851.41;23.211;1.3978;1224.0;1226.024487;0.17;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";333.15;851.41;23.211;1.3978;1221.0;1223.457274;0.20;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";338.15;851.41;23.211;1.3978;1218.0;1221.020963;0.25;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";343.15;851.41;23.211;1.3978;1215.0;1218.58215;0.29;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";348.15;851.41;23.211;1.3978;1212.0;1215.998672;0.33;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Ribose;"1;1";353.15;851.41;23.211;1.3978;1209.0;1213.143384;0.34;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";293.15;843.35;24.724;1.3871;1227.0;1240.542573;1.10;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";298.15;843.35;24.724;1.3871;1224.0;1236.991359;1.06;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";303.15;843.35;24.724;1.3871;1221.0;1232.930288;0.98;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";308.15;843.35;24.724;1.3871;1218.0;1228.660946;0.88;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";313.15;843.35;24.724;1.3871;1215.0;1224.458851;0.78;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";318.15;843.35;24.724;1.3871;1212.0;1220.546796;0.71;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";323.15;843.35;24.724;1.3871;1209.0;1217.075594;0.67;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";328.15;843.35;24.724;1.3871;1207.0;1214.114529;0.59;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";333.15;843.35;24.724;1.3871;1204.0;1211.652347;0.64;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";338.15;843.35;24.724;1.3871;1201.0;1209.608083;0.72;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";343.15;843.35;24.724;1.3871;1198.0;1207.849642;0.82;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";348.15;843.35;24.724;1.3871;1195.0;1206.217067;0.94;
benzyldimethyl(2-hydroxyethyl) ammonium chloride;D-Xylose;"1;1";353.15;843.35;24.724;1.3871;1192.0;1204.546983;1.05;
Choline chloride;1,2-propanediol;"1;3";293.15;620.93;38.436;0.9290;1066.6;1070.492469;0.36;
Choline chloride;1,2-propanediol;"1;3";303.15;620.93;38.436;0.9290;1059.9;1066.224406;0.60;
Choline chloride;1,2-propanediol;"1;3";313.15;620.93;38.436;0.9290;1053.3;1062.764384;0.90;
Choline chloride;1,2-propanediol;"1;3";323.15;620.93;38.436;0.9290;1046.7;1059.859533;1.26;
Choline chloride;1,2-propanediol;"1;4";293.15;621.24;39.620;0.9402;1066.3;1070.790251;0.42;
Choline chloride;1,2-propanediol;"1;4";303.15;621.24;39.620;0.9402;1060.2;1064.669462;0.42;
Choline chloride;1,2-propanediol;"1;4";313.15;621.24;39.620;0.9402;1054.1;1059.921921;0.55;
Choline chloride;1,2-propanediol;"1;4";323.15;621.24;39.620;0.9402;1048.0;1056.403519;0.80;
Choline chloride;1,4-butanediol;"1;3";293.15;637.97;33.672;0.9505;1052.4;1061.211396;0.84;
Choline chloride;1,4-butanediol;"1;3";303.15;637.97;33.672;0.9505;1049.0;1056.459579;0.71;
Choline chloride;1,4-butanediol;"1;3";313.15;637.97;33.672;0.9505;1043.2;1051.440535;0.79;
Choline chloride;1,4-butanediol;"1;3";323.15;637.97;33.672;0.9505;1038.4;1046.503576;0.78;
Choline chloride;1,4-butanediol;"1;4";293.15;639.21;34.288;0.9631;1044.5;1044.403852;0.01;
Choline chloride;1,4-butanediol;"1;4";303.15;639.21;34.288;0.9631;1041.1;1038.848398;0.22;
Choline chloride;1,4-butanediol;"1;4";313.15;639.21;34.288;0.9631;1035.4;1033.97475;0.14;
Choline chloride;1,4-butanediol;"1;4";323.15;639.21;34.288;0.9631;1030.6;1030.081568;0.05;
Choline chloride;1,4-butanediol;"1;4";303.15;639.21;34.288;0.9631;1041.0;1038.848398;0.21;
Choline chloride;2,3-butanediol;"1;3";293.15;640.23;34.358;0.9293;1046.8;1050.517851;0.36;
Choline chloride;2,3-butanediol;"1;3";303.15;640.23;34.358;0.9293;1039.0;1044.59703;0.54;
Choline chloride;2,3-butanediol;"1;3";313.15;640.23;34.358;0.9293;1035.7;1038.921532;0.31;
Choline chloride;2,3-butanediol;"1;3";323.15;640.23;34.358;0.9293;1030.0;1034.081337;0.40;
Choline chloride;2,3-butanediol;"1;4";293.15;641.64;35.040;0.9405;1035.0;1036.245183;0.12;
Choline chloride;2,3-butanediol;"1;4";303.15;641.64;35.040;0.9405;1030.9;1029.367618;0.15;
Choline chloride;2,3-butanediol;"1;4";313.15;641.64;35.040;0.9405;1026.5;1023.707475;0.27;
Choline chloride;2,3-butanediol;"1;4";323.15;641.64;35.040;0.9405;1019.7;1019.855695;0.02;
Choline chloride;Acetamide;"1;2";303.15;602.18;45.730;0.5419;1085.2;1088.854122;0.34;
Choline chloride;Citric acid;"1;1";296.15;835.65;29.364;1.2310;1300.0;1315.539952;1.20;
Choline chloride;Citric acid;"1;1";303.15;835.65;29.364;1.2310;1331.3;1325.008148;0.47;
Choline chloride;D-Fructose;"1;1";298.15;806.24;26.725;1.4613;1337.0;1304.534544;2.43;
Choline chloride;D-Fructose;"1;1";308.15;806.24;26.725;1.4613;1331.6;1314.419153;1.29;
Choline chloride;D-Fructose;"1;1";318.15;806.24;26.725;1.4613;1326.2;1319.87977;0.48;
Choline chloride;D-Fructose;"1;1";328.15;806.24;26.725;1.4613;1320.7;1320.981214;0.02;
Choline chloride;D-Fructose;"1;1";338.15;806.24;26.725;1.4613;1315.2;1317.947639;0.21;
Choline chloride;D-Fructose;"1;1";348.15;806.24;26.725;1.4613;1309.3;1311.003952;0.13;
Choline chloride;D-Fructose;"1;1";358.15;806.24;26.725;1.4613;1303.1;1300.357523;0.21;
Choline chloride;D-Fructose;"1.5;1";298.15;767.47;26.960;1.3212;1303.6;1300.925895;0.21;
Choline chloride;D-Fructose;"1.5;1";308.15;767.47;26.960;1.3212;1298.2;1299.529861;0.10;
Choline chloride;D-Fructose;"1.5;1";318.15;767.47;26.960;1.3212;1292.7;1295.469799;0.21;
Choline chloride;D-Fructose;"1.5;1";328.15;767.47;26.960;1.3212;1287.3;1290.277675;0.23;
Choline chloride;D-Fructose;"1.5;1";338.15;767.47;26.960;1.3212;1281.8;1284.924652;0.24;
Choline chloride;D-Fructose;"1.5;1";348.15;767.47;26.960;1.3212;1275.9;1279.563721;0.29;
Choline chloride;D-Fructose;"1.5;1";358.15;767.47;26.960;1.3212;1269.7;1273.621878;0.31;
Choline chloride;D-Fructose;"2;1";298.15;742.22;27.034;1.2278;1277.9;1256.778917;1.65;
Choline chloride;D-Fructose;"2;1";308.15;742.22;27.034;1.2278;1272.5;1251.934116;1.62;
Choline chloride;D-Fructose;"2;1";318.15;742.22;27.034;1.2278;1266.9;1245.958328;1.65;
Choline chloride;D-Fructose;"2;1";328.15;742.22;27.034;1.2278;1261.2;1240.435817;1.65;
Choline chloride;D-Fructose;"2;1";338.15;742.22;27.034;1.2278;1255.5;1236.336655;1.53;
Choline chloride;D-Fructose;"2;1";348.15;742.22;27.034;1.2278;1249.7;1233.789953;1.27;
Choline chloride;D-Fructose;"2;1";358.15;742.22;27.034;1.2278;1241.9;1232.135759;0.79;
Choline chloride;D-Fructose;"2.5;1";298.15;724.47;27.049;1.1611;1259.0;1251.439897;0.60;
Choline chloride;D-Fructose;"2.5;1";308.15;724.47;27.049;1.1611;1253.7;1250.599729;0.25;
Choline chloride;D-Fructose;"2.5;1";318.15;724.47;27.049;1.1611;1248.5;1246.992854;0.12;
Choline chloride;D-Fructose;"2.5;1";328.15;724.47;27.049;1.1611;1243.3;1241.601392;0.14;
Choline chloride;D-Fructose;"2.5;1";338.15;724.47;27.049;1.1611;1237.9;1235.447362;0.20;
Choline chloride;D-Fructose;"2.5;1";348.15;724.47;27.049;1.1611;1232.4;1229.319575;0.25;
Choline chloride;D-Fructose;"2.5;1";358.15;724.47;27.049;1.1611;1226.9;1223.575811;0.27;
Choline chloride;D-Glucose;"1;1";296.15;801.26;27.058;1.4440;1270.0;1289.872106;1.56;
Choline chloride;D-Glucose;"2;1";303.15;738.99;27.233;1.2163;1239.7;1250.515449;0.87;
Choline chloride;D-Glucose;"2;1";313.15;738.99;27.233;1.2163;1234.6;1244.767094;0.82;
Choline chloride;D-Glucose;"2;1";323.15;738.99;27.233;1.2163;1229.4;1238.700205;0.76;
Choline chloride;D-Glucose;"2;1";333.15;738.99;27.233;1.2163;1224.3;1233.660344;0.76;
Choline chloride;D-Glucose;"2;1";343.15;738.99;27.233;1.2163;1219.2;1230.266779;0.91;
Choline chloride;D-Glucose;"2;1";353.15;738.99;27.233;1.2163;1214.0;1228.299467;1.18;
Choline chloride;D-Mannose;"1;1";293.15;807.51;24.301;1.4966;1281.0;1278.219264;0.22;
Choline chloride;D-Mannose;"1;1";298.15;807.51;24.301;1.4966;1278.0;1277.802587;0.02;
Choline chloride;D-Mannose;"1;1";303.15;807.51;24.301;1.4966;1275.0;1276.398592;0.11;
Choline chloride;D-Mannose;"1;1";308.15;807.51;24.301;1.4966;1272.0;1274.228621;0.18;
Choline chloride;D-Mannose;"1;1";313.15;807.51;24.301;1.4966;1270.0;1271.527322;0.12;
Choline chloride;D-Mannose;"1;1";318.15;807.51;24.301;1.4966;1267.0;1268.518909;0.12;
Choline chloride;D-Mannose;"1;1";323.15;807.51;24.301;1.4966;1264.0;1265.395638;0.11;
Choline chloride;D-Mannose;"1;1";328.15;807.51;24.301;1.4966;1262.0;1262.300996;0.02;
Choline chloride;D-Mannose;"1;1";333.15;807.51;24.301;1.4966;1259.0;1259.319457;0.03;
Choline chloride;D-Mannose;"1;1";338.15;807.51;24.301;1.4966;1256.0;1256.473754;0.04;
Choline chloride;D-Mannose;"1;1";343.15;807.51;24.301;1.4966;1254.0;1253.729648;0.02;
Choline chloride;D-Mannose;"1;1";348.15;807.51;24.301;1.4966;1251.0;1251.007168;0.00;
Choline chloride;D-Mannose;"1;1";353.15;807.51;24.301;1.4966;1248.0;1248.19659;0.02;
Choline chloride;D-Ribose;"1;1";293.15;752.84;26.956;1.3260;1269.0;1264.469342;0.36;
Choline chloride;D-Ribose;"1;1";298.15;752.84;26.956;1.3260;1267.0;1263.810757;0.25;
Choline chloride;D-Ribose;"1;1";303.15;752.84;26.956;1.3260;1264.0;1262.3026;0.13;
Choline chloride;D-Ribose;"1;1";308.15;752.84;26.956;1.3260;1261.0;1260.106657;0.07;
Choline chloride;D-Ribose;"1;1";313.15;752.84;26.956;1.3260;1258.0;1257.394854;0.05;
Choline chloride;D-Ribose;"1;1";318.15;752.84;26.956;1.3260;1255.0;1254.336037;0.05;
Choline chloride;D-Ribose;"1;1";323.15;752.84;26.956;1.3260;1252.0;1251.084275;0.07;
Choline chloride;D-Ribose;"1;1";328.15;752.84;26.956;1.3260;1249.0;1247.769492;0.10;
Choline chloride;D-Ribose;"1;1";333.15;752.84;26.956;1.3260;1246.0;1244.490884;0.12;
Choline chloride;D-Ribose;"1;1";338.15;752.84;26.956;1.3260;1243.0;1241.313352;0.14;
Choline chloride;D-Ribose;"1;1";343.15;752.84;26.956;1.3260;1240.0;1238.266893;0.14;
Choline chloride;D-Ribose;"1;1";348.15;752.84;26.956;1.3260;1237.0;1235.348768;0.13;
Choline chloride;D-Ribose;"1;1";353.15;752.84;26.956;1.3260;1235.0;1232.528097;0.20;
Choline chloride;D-Sorbitol;"1;1";303.15;806.24;26.725;1.4613;1279.4;1310.02177;2.39;
Choline chloride;D-Sucrose;1,1;296.15;1084.19;32.369;0.9631;1350.0;1346.950216;0.23;
Choline chloride;D-Sucrose;"2;1";296.15;702.73;28.339;1.1305;1230.0;1229.198184;0.07;
Choline chloride;D-Sucrose;4,1;296.15;795.37;29.234;0.8418;1220.0;1222.328427;0.19;
Choline chloride;D-Xylose;"1;1";293.15;745.40;29.037;1.3153;1260.0;1250.500151;0.75;
Choline chloride;D-Xylose;"1;1";298.15;745.40;29.037;1.3153;1257.0;1249.70365;0.58;
Choline chloride;D-Xylose;"1;1";303.15;745.40;29.037;1.3153;1254.0;1248.184071;0.46;
Choline chloride;D-Xylose;"1;1";308.15;745.40;29.037;1.3153;1251.0;1246.098239;0.39;
Choline chloride;D-Xylose;"1;1";313.15;745.40;29.037;1.3153;1248.0;1243.610788;0.35;
Choline chloride;D-Xylose;"1;1";318.15;745.40;29.037;1.3153;1246.0;1240.88133;0.41;
Choline chloride;D-Xylose;"1;1";323.15;745.40;29.037;1.3153;1243.0;1238.053078;0.40;
Choline chloride;D-Xylose;"1;1";328.15;745.40;29.037;1.3153;1240.0;1235.243743;0.38;
Choline chloride;D-Xylose;"1;1";333.15;745.40;29.037;1.3153;1238.0;1232.539233;0.44;
Choline chloride;D-Xylose;"1;1";338.15;745.40;29.037;1.3153;1235.0;1229.990401;0.41;
Choline chloride;D-Xylose;"1;1";343.15;745.40;29.037;1.3153;1232.0;1227.612838;0.36;
Choline chloride;D-Xylose;"1;1";348.15;745.40;29.037;1.3153;1229.0;1225.389525;0.29;
Choline chloride;D-Xylose;"1;1";353.15;745.40;29.037;1.3153;1227.0;1223.275966;0.30;
Choline chloride;D-Xylose;"3;1";296.15;682.12;27.934;1.0381;1220.0;1178.553909;3.40;
Choline chloride;Ethylene glycol;"1;1.78";298.15;602.56;40.124;0.9094;1118.0;1117.260034;0.07;
Choline chloride;Ethylene glycol;"1;1.78";303.15;602.56;40.124;0.9094;1115.6;1114.815904;0.07;
Choline chloride;Ethylene glycol;"1;1.78";308.15;602.56;40.124;0.9094;1112.2;1112.180702;0.00;
Choline chloride;Ethylene glycol;"1;1.78";313.15;602.56;40.124;0.9094;1109.7;1109.388179;0.03;
Choline chloride;Ethylene glycol;"1;1.78";318.15;602.56;40.124;0.9094;1106.4;1106.467812;0.01;
Choline chloride;Ethylene glycol;"1;1.78";323.15;602.56;40.124;0.9094;1103.7;1103.439873;0.02;
Choline chloride;Ethylene glycol;"1;1.78";328.15;602.56;40.124;0.9094;1100.6;1100.314434;0.03;
Choline chloride;Ethylene glycol;"1;1.78";333.15;602.56;40.124;0.9094;1096.8;1097.094925;0.03;
Choline chloride;Ethylene glycol;"1;1.78";338.15;602.56;40.124;0.9094;1094.8;1093.785856;0.09;
Choline chloride;Ethylene glycol;"1;1.78";343.15;602.56;40.124;0.9094;1091.0;1090.403268;0.05;
Choline chloride;Ethylene glycol;"1;1.78";348.15;602.56;40.124;0.9094;1089.0;1086.985702;0.18;
Choline chloride;Ethylene glycol;"1;1.78";353.15;602.56;40.124;0.9094;1087.0;1083.60315;0.31;
Choline chloride;Ethylene glycol;"1;1.78";358.15;602.56;40.124;0.9094;1083.2;1080.361652;0.26;
Choline chloride;Ethylene glycol;"1;1.78";363.15;602.56;40.124;0.9094;1082.0;1077.401872;0.42;
Choline chloride;Ethylene glycol;"1;1.78";368.15;602.56;40.124;0.9094;1077.4;1074.891114;0.23;
Choline chloride;Ethylene glycol;"1;2";303.15;602.00;40.993;0.9155;1113.9;1114.447447;0.05;
Choline chloride;Ethylene glycol;"1;2";308.15;602.00;40.993;0.9155;1110.9;1111.63033;0.07;
Choline chloride;Ethylene glycol;"1;2";313.15;602.00;40.993;0.9155;1108.1;1108.753469;0.06;
Choline chloride;Ethylene glycol;"1;2";318.15;602.00;40.993;0.9155;1105.3;1105.84483;0.05;
Choline chloride;Ethylene glycol;"1;2";323.15;602.00;40.993;0.9155;1102.5;1102.913733;0.04;
Choline chloride;Ethylene glycol;"1;2";328.15;602.00;40.993;0.9155;1099.7;1099.951077;0.02;
Choline chloride;Ethylene glycol;"1;2";333.15;602.00;40.993;0.9155;1096.9;1096.935082;0.00;
